ChildID,TeachID.Year1,Age.at.test,Annual.Gross.Income,gender,cond.dum,zero.app.users.year1,matchschool,twin,year1dropout,wjappliedfa13_filter,WJletterwordFa13_filter,WJ.applied.Sp14.filter,WJ.letterword.Sp14.filter,Returned.Parent.Survey.cohort1.Fa13,WJ.Applied.Problems.W.Score.Fa13,WJ.Applied.Problems.GE.Fa13,WJ.Letter.Word.ID.W.Score.Fa13,WJ.Letter.Word.ID.GE.Fa13,WJ.Applied.Problems_W.Score_Sp14,WJ.Applied.Problem_GE_Sp14,WJ.LetterWord.Wscore.Sp14,WJ.LetterWord_GE_Sp14,Relationship.to.Child.Parent.Survey.Fa13,Gender.of.Person.Filling.Out.Survey.Fa13,ParentMAaverage.Fa13,parent.total.math.class.Fa13,avg.use,use.012.groups,in.depth.year1,WScore.Parent.Math.Fluency.Year1,parentMA_mediansplit,parentMathClass_mediansplit
179,8.00,78.00,3.00,0,1.00,1,1,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,467.0,2.9,471.0,2.6,498.0,4.3,Father,M,2.9,,0.33,0.0,0.0,,2.00,
180,8.00,76.00,5.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,0.0,462.0,2.1,470.0,3.0,476.0,2.8,471.0,3.0,,,,,0.10,0.0,0.0,,,
181,8.00,77.00,6.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,354.0,0.1,485.0,3.3,484.0,3.5,Mother,F,1.8,6.0,1.43,1.0,1.0,539.0,1.00,2.00
182,8.00,72.00,2.00,0,1.00,0,1,0,0,1.0,1.0,0.0,1.0,1.0,467.0,2.3,364.0,0.4,424.0,0.3,397.0,1.1,Mother,F,3.3,5.0,0.10,0.0,0.0,,2.00,1.00
183,8.00,79.00,6.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,471.0,2.5,412.0,1.5,485.0,3.3,428.0,1.8,Mother,F,2.4,4.0,1.86,2.0,1.0,516.0,2.00,1.00
185,8.00,78.00,,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,0.0,449.0,1.5,442.0,2.2,463.0,2.1,468.0,2.9,,,,,1.05,1.0,0.0,,,
186,8.00,74.00,6.00,0,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,458.0,1.9,388.0,1.0,463.0,2.1,413.0,1.5,Mother,F,2.3,4.0,0.00,0.0,0.0,,2.00,1.00
187,8.00,78.00,6.00,0,1.00,0,1,0,1,1.0,1.0,0.0,0.0,1.0,467.0,2.3,449.0,2.3,,,,,Mother,F,1.7,5.0,,,0.0,,1.00,1.00
188,8.00,80.00,1.00,1,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,440.0,1.1,364.0,0.4,442.0,1.2,376.0,0.7,Mother,F,2.2,3.0,0.48,0.0,0.0,,2.00,1.00
189,8.00,81.00,5.00,1,1.00,0,1,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,404.0,1.3,471.0,2.6,435.0,2.0,Mother,F,1.5,5.0,1.43,1.0,1.0,518.0,1.00,1.00
190,9.00,,6.00,0,1.00,0,0,0,0,1.0,1.0,0.0,0.0,1.0,449.0,1.5,374.0,0.6,,,,,Mother,F,2.4,5.0,0.94,1.0,0.0,,2.00,1.00
191,9.00,80.00,6.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,485.0,3.3,480.0,3.3,506.0,4.8,504.0,4.8,Mother,F,3.8,6.0,2.00,2.0,0.0,,2.00,2.00
192,9.00,78.00,4.00,0,1.00,0,0,0,0,0.0,1.0,1.0,1.0,1.0,453.0,1.7,404.0,1.3,463.0,2.1,435.0,2.0,Father,M,1.6,5.0,0.97,1.0,0.0,,1.00,1.00
193,9.00,81.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,453.0,2.4,471.0,2.6,496.0,4.2,Father,M,1.7,5.0,1.66,2.0,0.0,,1.00,1.00
194,9.00,77.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,408.0,1.4,467.0,2.3,431.0,1.9,Father,M,2.0,8.0,0.59,1.0,0.0,,1.00,2.00
195,9.00,84.00,,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,467.0,2.9,498.0,4.2,490.0,3.8,Mother,F,1.1,4.0,1.83,2.0,0.0,,1.00,1.00
196,9.00,,2.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,436.0,0.9,427.0,1.8,467.0,2.3,490.0,3.8,Mother,F,4.2,5.0,0.55,1.0,0.0,,2.00,1.00
197,9.00,76.00,6.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,449.0,1.5,416.0,1.6,463.0,2.1,431.0,1.9,Father,M,2.0,1.0,0.62,1.0,0.0,,1.00,1.00
198,9.00,78.00,5.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,420.0,1.6,481.0,3.0,460.0,2.7,Mother,F,2.4,2.0,3.45,2.0,0.0,,2.00,1.00
199,9.00,81.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,458.0,1.9,423.0,1.7,471.0,2.6,449.0,2.4,Father,M,3.3,,0.83,1.0,0.0,,2.00,
200,9.00,76.00,5.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,494.0,4.1,458.0,1.9,493.0,4.0,Parents,F,1.5,3.0,1.07,1.0,0.0,,1.00,1.00
201,10.00,83.00,4.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,467.0,2.3,460.0,2.7,471.0,2.6,481.0,3.4,Father,M,2.9,6.0,1.67,2.0,0.0,,2.00,2.00
202,10.00,79.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,415.0,0.0,404.0,1.3,428.0,0.5,431.0,1.9,Mother,F,1.5,8.0,0.89,1.0,0.0,,1.00,2.00
203,10.00,67.00,1.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,0.0,462.0,2.1,431.0,1.9,490.0,3.6,468.0,2.9,,,,,0.00,0.0,0.0,,,
204,10.00,79.00,2.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,427.0,0.5,408.0,1.4,454.0,1.7,439.0,2.1,Father,M,3.4,3.0,0.78,1.0,0.0,,2.00,1.00
205,10.00,83.00,2.00,0,1.00,1,0,0,0,1.0,1.0,1.0,1.0,1.0,476.0,2.8,404.0,1.3,498.0,4.2,478.0,3.3,Mother,F,1.8,6.0,1.67,2.0,0.0,,1.00,2.00
206,10.00,86.00,1.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,431.0,1.9,458.0,1.9,442.0,2.2,Mother,F,2.5,,0.15,0.0,0.0,,2.00,
207,10.00,85.00,6.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,471.0,2.5,486.0,3.6,512.0,5.6,507.0,5.0,Mother,F,1.4,4.0,0.81,1.0,0.0,,1.00,1.00
208,10.00,90.00,5.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,440.0,1.1,412.0,1.5,439.0,1.0,446.0,2.3,Father,M,1.1,8.0,0.96,1.0,0.0,,1.00,2.00
209,10.00,82.00,5.00,0,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,462.0,2.1,434.0,2.0,463.0,2.1,475.0,3.1,Father,M,2.6,4.0,0.89,1.0,0.0,,2.00,1.00
210,10.00,84.00,4.00,1,1.00,0,0,0,0,1.0,1.0,1.0,1.0,1.0,453.0,1.7,408.0,1.4,458.0,1.9,439.0,2.1,Mother,F,2.9,7.0,0.30,0.0,0.0,,2.00,2.00
211,10.00,76.00,6.00,1,1.00,1,0,0,0,1.0,1.0,1.0,1.0,1.0,471.0,2.5,420.0,1.6,463.0,2.1,449.0,2.4,Mother,F,1.5,5.0,0.52,1.0,0.0,,1.00,1.00
